Graded Commit:5ffc98c0a425c808dc071b29d7efc40eded449d0

TEST NAME, POINTS,OUT OF
base_suite/EOF_test,1,1,
base_suite/basic_test,1,1,
base_suite/prefix_suffix_test,1,1,
base_suite/valgrind_leak_test,1,1,
base_suite/valgrind_uninitialized_test,1,1,
blackbox_suite/long_hang,1,1,
blackbox_suite/long_last,1,1,
blackbox_suite/long_min,1,1,
blackbox_suite/long_suffix,1,1,
blackbox_suite/long_width,1,1,
blackbox_suite/no_last,1,1,
blackbox_suite/no_min,1,1,
blackbox_suite/partial_hang,1,1,
blackbox_suite/short_hang,0,1,1 assertion(s) failed.: tests/test_common.c:125: The output was not what was expected (diff exited with status 1).
blackbox_suite/short_last,0,1,1 assertion(s) failed.: tests/test_common.c:125: The output was not what was expected (diff exited with status 1).
blackbox_suite/short_min,0,1,1 assertion(s) failed.: tests/test_common.c:125: The output was not what was expected (diff exited with status 1).
blackbox_suite/short_prefix,1,1,
blackbox_suite/valgrind_mixed_wps,1,1,
blackbox_suite/valgrind_mixed_wpsh,0,1,The test timed out.: None
error_suite/check_for_error,1,1,
error_suite/check_for_no_error,1,1,
error_suite/report_error,0,1,1 assertion(s) failed.: tests/test_common.c:70: Invalid return for report_error. Got: 1 | Expected: 0
error_suite/report_error_clear,1,1,
error_suite/set_error,1,1,
error_suite/set_error_long,1,1,
total,20,25
