Graded Commit:e442db0a290ba136a735cc22ca46de975f857e69

TEST NAME, POINTS,OUT OF
sf_memsuite_grading/free_block_too_small,1,1,
sf_memsuite_grading/free_null,1,1,
sf_memsuite_grading/free_prev_alloc,1,1,
sf_memsuite_grading/free_unallocated,1,1,
sf_memsuite_grading/initialization,1,1,
sf_memsuite_grading/internal_fragmentation,0,1,"1 assertion(s) failed.: tests/grading_tests_p2.c:330: internal fragmentation_2 did not match (exp=0.984615, found=0.980670)"
sf_memsuite_grading/malloc_free_coalesce_both,0,1,"1 assertion(s) failed.: tests/__grading_helpers.c:137: Block 0x5610096161c8 has wrong block_size (got 480, expected 800)"
sf_memsuite_grading/malloc_free_coalesce_lower,0,1,1 assertion(s) failed.: tests/__grading_helpers.c:86: Prev allocated bit is not correctly set for 0x5562c3df7298. Should be: 1
sf_memsuite_grading/malloc_free_coalesce_upper,0,1,1 assertion(s) failed.: tests/__grading_helpers.c:86: Prev allocated bit is not correctly set for 0x55de58ce9298. Should be: 1
sf_memsuite_grading/malloc_free_first_block,0,1,1 assertion(s) failed.: tests/__grading_helpers.c:86: Prev allocated bit is not correctly set for 0x563f2933b298. Should be: 0
sf_memsuite_grading/malloc_free_last_block,0,1,1 assertion(s) failed.: tests/__grading_helpers.c:86: Prev allocated bit is not correctly set for 0x55898db2f298. Should be: 1
sf_memsuite_grading/malloc_free_lifo,1,1,
sf_memsuite_grading/malloc_free_no_coalesce,0,1,1 assertion(s) failed.: tests/__grading_helpers.c:86: Prev allocated bit is not correctly set for 0x55dcbf17d208. Should be: 1
sf_memsuite_grading/malloc_to_exhaustion,0,1,"1 assertion(s) failed.: tests/grading_tests_p1.c:349: Allocation failed, but heap can still grow."
sf_memsuite_grading/malloc_with_splinter,0,1,"1 assertion(s) failed.: tests/__grading_helpers.c:137: Block 0x55b7aa51c1c8 has wrong block_size (got 960, expected 976)"
sf_memsuite_grading/multiple_quick_lists,1,1,
sf_memsuite_grading/non_abort_test,1,1,
sf_memsuite_grading/peak_utilization,0,1,"1 assertion(s) failed.: tests/grading_tests_p2.c:287: peak utilization_1 did not match (exp=0.791016, found=0.498047)"
sf_memsuite_grading/quick_list_flush,1,1,
sf_memsuite_grading/realloc_internal_fragmentation,0,1,The test crashed.: None
sf_memsuite_grading/realloc_larger,1,1,
sf_memsuite_grading/realloc_same,1,1,
sf_memsuite_grading/realloc_size_0,1,1,
sf_memsuite_grading/realloc_smaller,1,1,
sf_memsuite_grading/realloc_splinter,1,1,
sf_memsuite_grading/simple_quick_list,1,1,
sf_memsuite_grading/single_malloc_1,1,1,
sf_memsuite_grading/single_malloc_16,1,1,
sf_memsuite_grading/single_malloc_32,1,1,
sf_memsuite_grading/single_malloc_exactly_one_page_needed,1,1,
sf_memsuite_grading/single_malloc_max,1,1,
sf_memsuite_grading/single_malloc_more_than_one_page_needed,1,1,
sf_memsuite_grading/single_malloc_three_pages_needed,0,1,"1 assertion(s) failed.: tests/__grading_helpers.c:137: Block 0x55fcb033a1c8 has wrong block_size (got 3008, expected 3024)"
sf_memsuite_grading/stress_test,0,1,The test crashed.: None
sfmm_basecode_suite/free_coalesce,1,1,
sfmm_basecode_suite/free_no_coalesce,1,1,
sfmm_basecode_suite/free_quick,1,1,
sfmm_basecode_suite/freelist,1,1,
sfmm_basecode_suite/malloc_an_int,1,1,
sfmm_basecode_suite/malloc_four_pages,1,1,
sfmm_basecode_suite/malloc_too_large,1,1,
sfmm_basecode_suite/realloc_larger_block,1,1,
sfmm_basecode_suite/realloc_smaller_block_free_block,1,1,
sfmm_basecode_suite/realloc_smaller_block_splinter,1,1,
total,31,44extra_test1,0,0.6
extra_test2,0,0.6
extra_test3,0,0.6
extra_test4,0,0.6
extra_test5,0,0.6
